"empresa";"direccion";"localidad";"contacto";"lat";"lon";"link_map";"descripcion"
"AGRÍCOLA NOROESTE SRL";"Ruta 8 Km. 274";"Colón";"054 9 2353-498398";-33,92081;-61,086182;"https://www.google.com/maps?q=-33.92081,-61.086182";"<b>Nombre: </b>AGRÍCOLA NOROESTE SRL<br><b>Dirección: </b>Ruta 8 Km. 274<br>"
"AGRO DE SOUZA SA";"Acceso Héroes de Malvinas 2970";"Carhué";"054 9 2923-425563";-37,196119;-62,777409;"https://www.google.com/maps?q=-37.196119,-62.777409";"<b>Nombre: </b>AGRO DE SOUZA SA<br><b>Dirección: </b>Acceso Héroes de Malvinas 2970<br>"
"LCC AZUL";"Ruta Nacional 3 KM 298,5";"Azul";"054 9 2281-492367";-36,790064;-59,838054;"https://www.google.com/maps?q=-36.790064,-59.838054";"<b>Nombre: </b>LCC AZUL<br><b>Dirección: </b>Ruta Nacional 3 KM 298,5<br>"
"AGRO DE SOUZA SA";"Ruta 65 y Ruta 86";"Daireaux";"054 9 2314-401599";-36,567979;-61,748703;"https://www.google.com/maps?q=-36.567979,-61.748703";"<b>Nombre: </b>AGRO DE SOUZA SA<br><b>Dirección: </b>Ruta 65 y Ruta 86<br>"
"RURAL REPUESTOS S.A.";"Calle 27, N° 127";"Veinticinco de Mayo";"0054 2345 511310";-35,4336866;-60,1652068;"https://www.google.com/maps?q=-35.4336866,-60.1652068";"<b>Nombre: </b>RURAL REPUESTOS S.A.<br><b>Dirección: </b>Calle 27, N° 127<br>"
"LCC LINCOLN";"Acceso Hipolito Yrigoyen S/N";"Lincoln";"054 9 2355-421982";-34,843791;-61,500353;"https://www.google.com/maps?q=-34.843791,-61.500353";"<b>Nombre: </b>LCC LINCOLN<br><b>Dirección: </b>Acceso Hipolito Yrigoyen S/N<br>"
"AGROSUR";"Ruta 41 y Av. Libertad";"Gral. Belgrano";"054 9 2243-452599";-35,773165;-58,507532;"https://www.google.com/maps?q=-35.773165,-58.507532";"<b>Nombre: </b>AGROSUR<br><b>Dirección: </b>Ruta 41 y Av. Libertad<br>"
"RURAL REPUESTOS S.A.";"Av. Hipolito Irigoyen 1017";"Chacabuco";"054 9 2346-569091 / 412618";-34,632477;-60,448482;"https://www.google.com/maps?q=-34.632477,-60.448482";"<b>Nombre: </b>RURAL REPUESTOS S.A.<br><b>Dirección: </b>Av. Hipolito Irigoyen 1017<br>"
"ALMAQ S.A.";"Juan Carlos Publiese 442";"Tandil";"054 9 2478-462087";-37,317081;-59,107785;"https://www.google.com/maps?q=-37.317081,-59.107785";"<b>Nombre: </b>ALMAQ S.A.<br><b>Dirección: </b>Juan Carlos Publiese 442<br>"
"ALMAQ S.A.";"Av. San Martin 3197";"Balcarce";"054 9 2266-431974";-37,836125;-58,242542;"https://www.google.com/maps?q=-37.836125,-58.242542";"<b>Nombre: </b>ALMAQ S.A.<br><b>Dirección: </b>Av. San Martin 3197<br>"
"RURAL REPUESTOS S.A.";"Ruta 205 Km 180,8";"Saladillo";"054 9 2344-451427 / 2346-589815";-35,608672;-59,761127;"https://www.google.com/maps?q=-35.608672,-59.761127";"<b>Nombre: </b>RURAL REPUESTOS S.A.<br><b>Dirección: </b>Ruta 205 Km 180,8<br>"
"ALMAQ S.A.";"Dr. Jose Ingerieros 445";"Tres Arroyos";"054 9 2478-508901";-38,361243;-60,287049;"https://www.google.com/maps?q=-38.361243,-60.287049";"<b>Nombre: </b>ALMAQ S.A.<br><b>Dirección: </b>Dr. Jose Ingerieros 445<br>"
"TRAYKEN S.A.";"Ruta Nacional 33 km 321,5";"Trenque Lauquen";"054 9 2392-488201 / 492682";-36,007203;-62,753652;"https://www.google.com/maps?q=-36.007203,-62.753652";"<b>Nombre: </b>TRAYKEN S.A.<br><b>Dirección: </b>Ruta Nacional 33 km 321,5<br>"
"RURAL REPUESTOS S.A.";"Av. Mitre 905";"Chivilcoy";"054 9 2346-422702 / 434624 / 421614";-34,914499;-59,9965;"https://www.google.com/maps?q=-34.914499,-59.9965";"<b>Nombre: </b>RURAL REPUESTOS S.A.<br><b>Dirección: </b>Av. Mitre 905<br>"
"RURAL REPUESTOS S.A.";"Ruta Nac. 5 Km 263";"9 de Julio";"054 9 2346-589807 / 2317-610642";-35,470892;-60,854995;"https://www.google.com/maps?q=-35.470892,-60.854995";"<b>Nombre: </b>RURAL REPUESTOS S.A.<br><b>Dirección: </b>Ruta Nac. 5 Km 263<br>"
"TRAYKEN S.A.";"Ruta Nac. 188, KM 367";"General Villegas";"054 9 3388-409595";-35,04646;-63,001074;"https://www.google.com/maps?q=-35.04646,-63.001074";"<b>Nombre: </b>TRAYKEN S.A.<br><b>Dirección: </b>Ruta Nac. 188, KM 367<br>"
"LCC JUNÍN";"Ruta Nac. N7 y Canavesio";"Junin";"054 9 236-4440456 /4440457";-34,60056;-60,95353;"https://www.google.com/maps?q=-34.60056,-60.95353";"<b>Nombre: </b>LCC JUNÍN<br><b>Dirección: </b>Ruta Nac. N7 y Canavesio<br>"
"AGROSUR";"Uruguay y Calle 8 - Coronel Brandsen";"Brandsen";"054 9 2223-442378";-35,170416;-58,228677;"https://www.google.com/maps?q=-35.170416,-58.228677";"<b>Nombre: </b>AGROSUR<br><b>Dirección: </b>Uruguay y Calle 8 - Coronel Brandsen<br>"
"AGROSUR";"Uruguay y Calle 8 - Coronel Brandsen";"Brandsen";"054 9 2223-442378";-35,170416;-58,228677;"https://www.google.com/maps?q=-35.170416,-58.228677";"<b>Nombre: </b>AGROSUR<br><b>Dirección: </b>Uruguay y Calle 8 - Coronel Brandsen<br>"
"AGRO DE SOUZA SA";"Ruta Prov 85 km 190";"Coronel Suarez";"054 9 2926-431657";-37,467894;-61,950692;"https://www.google.com/maps?q=-37.467894,-61.950692";"<b>Nombre: </b>AGRO DE SOUZA SA<br><b>Dirección: </b>Ruta Prov 85 km 190<br>"
"LCC LINCOLN";"Acceso Hipolito Yrigoyen S/N";"Lincoln";"054 9 2355-421982";-34,843791;-61,500353;"https://www.google.com/maps?q=-34.843791,-61.500353";"<b>Nombre: </b>LCC LINCOLN<br><b>Dirección: </b>Acceso Hipolito Yrigoyen S/N<br>"
"ALMAQ S.A.";"Ruta 8 Km 176,8";"Arrecifes";"054 9 2478-451140";-34,058799;-60,104861;"https://www.google.com/maps?q=-34.058799,-60.104861";"<b>Nombre: </b>ALMAQ S.A.<br><b>Dirección: </b>Ruta 8 Km 176,8<br>"
