ID;DOMICILIO;LOCALIDAD;PROVINCIA
49;Acha 1016;Mar del Plata;Buenos Aires
95;Acha 1032;Mar del Plata;Buenos Aires
116;Acha 530;Mar del Plata;Buenos Aires
156;Acha 732;Mar del Plata;Buenos Aires
206;Acha 798;Mar del Plata;Buenos Aires
144;Acha 870;Mar del Plata;Buenos Aires
51;Acha 983;Mar del Plata;Buenos Aires
213;Alejandro Korn 1042;Mar del Plata;Buenos Aires
56;Alejandro Korn 1081;Mar del Plata;Buenos Aires
157;Alejandro Korn 676;Mar del Plata;Buenos Aires
100;Alejandro Korn 98;Mar del Plata;Buenos Aires
241;Antonio Valentini 349;Mar del Plata;Buenos Aires
135;Avda. Champagnat 1874;Mar del Plata;Buenos Aires
201;Avda. Edison 941;Mar del Plata;Buenos Aires
124;Avda. Fleming 1210;Mar del Plata;Buenos Aires
257;Avda. Fleming 1231;Mar del Plata;Buenos Aires
73;Avda. Florida;Mar del Plata;Buenos Aires
17;Ayolas 3075;Mar del Plata;Buenos Aires
139;Ayolas 3247;Mar del Plata;Buenos Aires
215;Ayolas 3649;Mar del Plata;Buenos Aires
189;Azopardo 3231;Mar del Plata;Buenos Aires
184;Beltrami 644;Mar del Plata;Buenos Aires
205;Bermejo 1190;Mar del Plata;Buenos Aires
203;Bermejo 1211;Mar del Plata;Buenos Aires
171;Bermejo 618;Mar del Plata;Buenos Aires
237;Bermejo 745;Mar del Plata;Buenos Aires
70;Bermejo 763;Mar del Plata;Buenos Aires
94;Bermejo 776;Mar del Plata;Buenos Aires
155;Bermejo 814;Mar del Plata;Buenos Aires
149;Bosch 892;Mar del Plata;Buenos Aires
148;Brumana 932;Mar del Plata;Buenos Aires
86;Calle 72 230;Mar del Plata;Buenos Aires
165;Camusso 1364;Mar del Plata;Buenos Aires
151;Cerrito 1001;Mar del Plata;Buenos Aires
192;Cerrito 1287;Mar del Plata;Buenos Aires
254;Cerrito 968;Mar del Plata;Buenos Aires
222;Dársena de Pescadores;Mar del Plata;Buenos Aires
80;Dársena de Pescadores;Mar del Plata;Buenos Aires
218;Dársena de Pescadores;Mar del Plata;Buenos Aires
10;Dársena de Pescadores;Mar del Plata;Buenos Aires
68;Dársena de Pescadores;Mar del Plata;Buenos Aires
150;Dársena de Pescadores;Mar del Plata;Buenos Aires
105;Dársena de Pescadores;Mar del Plata;Buenos Aires
197;Dársena de Pescadores;Mar del Plata;Buenos Aires
172;Dársena de Pescadores;Mar del Plata;Buenos Aires
102;Dársena de Pescadores;Mar del Plata;Buenos Aires
258;Dársena de Pescadores;Mar del Plata;Buenos Aires
87;Dársena de Pescadores;Mar del Plata;Buenos Aires
67;Diagonal Elpidio González 4836;Mar del Plata;Buenos Aires
91;Diagonal Elpidio González 4849;Mar del Plata;Buenos Aires
170;Diagonal Elpidio González 4875;Mar del Plata;Buenos Aires
204;Diagonal Elpidio González 60;Mar del Plata;Buenos Aires
174;Diagonal Garibaldi 4735;Mar del Plata;Buenos Aires
53;Diagonal Garibaldi 4747;Mar del Plata;Buenos Aires
96;Diagonal Garibaldi 4791;Mar del Plata;Buenos Aires
59;Diagonal Garibaldi 4825;Mar del Plata;Buenos Aires
220;Don Orione 769;Mar del Plata;Buenos Aires
81;Edison 1040;Mar del Plata;Buenos Aires
79;Edison 1080;Mar del Plata;Buenos Aires
115;Edison 572;Mar del Plata;Buenos Aires
143;Elcano 8066;Mar del Plata;Buenos Aires
164;Elisa de Bosch 646  ;Mar del Plata;Buenos Aires
231;Figueroa Alcorta 1045;Mar del Plata;Buenos Aires
200;Figueroa Alcorta 1095;Mar del Plata;Buenos Aires
112;Figueroa Alcorta 1143;Mar del Plata;Buenos Aires
163;Figueroa Alcorta 624;Mar del Plata;Buenos Aires
104;Figueroa Alcorta 724;Mar del Plata;Buenos Aires
253;Figueroa Alcorta 727;Mar del Plata;Buenos Aires
72;Gaboto 4180;Mar del Plata;Buenos Aires
178;Gianelli 1044;Mar del Plata;Buenos Aires
98;Gianelli 1082;Mar del Plata;Buenos Aires
54;Gianelli 69;Mar del Plata;Buenos Aires
93;Gianello 613;Mar del Plata;Buenos Aires
132;Guanahani 2977;Mar del Plata;Buenos Aires
158;Guanahani 3136;Mar del Plata;Buenos Aires
251;Guanahani 3282;Mar del Plata;Buenos Aires
195;Guanahani 3449;Mar del Plata;Buenos Aires
211;Guanahani 3526;Mar del Plata;Buenos Aires
88;Guanahani 3555;Mar del Plata;Buenos Aires
133;Guanahani 3564;Mar del Plata;Buenos Aires
236;Guanahani 3660;Mar del Plata;Buenos Aires
198;Guanahani 4441;Mar del Plata;Buenos Aires
183;Guanahani 4448;Mar del Plata;Buenos Aires
128;Guanahani 4523;Mar del Plata;Buenos Aires
243;Guanahani 4574;Mar del Plata;Buenos Aires
50;Hernandarias 3368;Mar del Plata;Buenos Aires
249;Hernandarias 3431;Mar del Plata;Buenos Aires
212;Hernandarias 3556;Mar del Plata;Buenos Aires
190;Hernandarias 3651;Mar del Plata;Buenos Aires
240;Hernandarias 3685;Mar del Plata;Buenos Aires
173;Hernandarias 4592;Mar del Plata;Buenos Aires
138;Hernandarias 4766;Mar del Plata;Buenos Aires
223;Hernandarias 4820;Mar del Plata;Buenos Aires
153;Hernandarias 5618;Mar del Plata;Buenos Aires
146;Irala 2902;Mar del Plata;Buenos Aires
120;Irala 3003;Mar del Plata;Buenos Aires
92;Irala 4052;Mar del Plata;Buenos Aires
103;Irala 4075;Mar del Plata;Buenos Aires
175;Irala 5855;Mar del Plata;Buenos Aires
111;José Hernández 1001;Mar del Plata;Buenos Aires
168;José Hernandez 1195;Mar del Plata;Buenos Aires
244;José Hernández 631;Mar del Plata;Buenos Aires
221;José Hernández 637;Mar del Plata;Buenos Aires
99;José Hernandez 67;Mar del Plata;Buenos Aires
141;José Marti 444;Mar del Plata;Buenos Aires
63;Juan B. Justo 1128;Mar del Plata;Buenos Aires
125;Juan B. Justo 3333;Mar del Plata;Buenos Aires
176;Juan B. Justo 5438;Mar del Plata;Buenos Aires
126;Juramento 1101;Mar del Plata;Buenos Aires
101;Juramento 735;Mar del Plata;Buenos Aires
159;Lanzilota 762;Mar del Plata;Buenos Aires
107;Luis Dellepiane 346;Mar del Plata;Buenos Aires
106;Magallanes 3118;Mar del Plata;Buenos Aires
142;Magallanes 3554;Mar del Plata;Buenos Aires
196;Marcelo T de Alvean 1168;Mar del Plata;Buenos Aires
82;Marcelo T. de Alvear 843;Mar del Plata;Buenos Aires
83;Marcelo T. de Alvear 852;Mar del Plata;Buenos Aires
229;Marcelo T. de Alvear 926;Mar del Plata;Buenos Aires
235;Moreno 3785;Mar del Plata;Buenos Aires
58;O'higgins 1165;Mar del Plata;Buenos Aires
145;Ortiz de Zarate 2980;Mar del Plata;Buenos Aires
250;Ortiz de Zárate 3237;Mar del Plata;Buenos Aires
216;Ortiz de Zarate 3378;Mar del Plata;Buenos Aires
242;Ortiz de Zárate 3394;Mar del Plata;Buenos Aires
114;Ortiz de Zárate 3414;Mar del Plata;Buenos Aires
154;Ortiz de Zárate 3441;Mar del Plata;Buenos Aires
108;Ortiz de Zárate 3683;Mar del Plata;Buenos Aires
187;Ortiz de Zárate 3855;Mar del Plata;Buenos Aires
199;Ortiz de Zarate 4045;Mar del Plata;Buenos Aires
77;Ortiz de Zárate 4055;Mar del Plata;Buenos Aires
162;Ortiz de Zarate 4105;Mar del Plata;Buenos Aires
55;Parque Industrial General Savio;Batán;Buenos Aires
8;Parque Industrial General Savio;Batán;Buenos Aires
182;Parque Industrial General Savio;Batán;Buenos Aires
246;Parque Industrial General Savio;Batán;Buenos Aires
186;Parque Industrial General Savio;Batán;Buenos Aires
208;Parque Industrial General Savio;Batán;Buenos Aires
140;Parque Industrial General Savio;Batán;Buenos Aires
179;Parque Industrial General Savio;Batán;Buenos Aires
255;Parque Industrial General Savio;Batán;Buenos Aires
226;Parque Industrial Puerto Nuevo  ;Batán;Buenos Aires
228;Pescadores 1098;Mar del Plata;Buenos Aires
89;Pescadores 540;Mar del Plata;Buenos Aires
64;Pescadores 601;Mar del Plata;Buenos Aires
188;Pescadores 823;Mar del Plata;Buenos Aires
131;Pescadores Esquina Ortiz de Zárate;Mar del Plata;Buenos Aires
177;Posadas 730;Mar del Plata;Buenos Aires
130;Rondeau 1150;Mar del Plata;Buenos Aires
219;Rondeau 839;Mar del Plata;Buenos Aires
69;San Salvador 3179;Mar del Plata;Buenos Aires
61;San Salvador 3199;Mar del Plata;Buenos Aires
118;San Salvador 3241;Mar del Plata;Buenos Aires
227;San Salvador 3845;Mar del Plata;Buenos Aires
119;San Salvador 4140;Mar del Plata;Buenos Aires
129;San Salvador 4447;Mar del Plata;Buenos Aires
232;San Salvador 4449;Mar del Plata;Buenos Aires
75;San Salvador 4524  ;Mar del Plata;Buenos Aires
194;San Salvador 4564;Mar del Plata;Buenos Aires
193;San Salvador 4763 ;Mar del Plata;Buenos Aires
57;San Salvador 4764;Mar del Plata;Buenos Aires
239;San Salvador 4779;Mar del Plata;Buenos Aires
110;San Salvador 4853;Mar del Plata;Buenos Aires
123;San Salvador 4865;Mar del Plata;Buenos Aires
97;Solís 3251;Mar del Plata;Buenos Aires
256;Solís 4255;Mar del Plata;Buenos Aires
245;Strobel 3775;Mar del Plata;Buenos Aires
167;Talcahuano 841;Mar del Plata;Buenos Aires
185;Triunvirato 1046;Mar del Plata;Buenos Aires
121;Triunvirato 1103;Mar del Plata;Buenos Aires
62;Vertiz 2957;Mar del Plata;Buenos Aires
134;Vertiz 2999;Mar del Plata;Buenos Aires
224;Vertiz 3092;Mar del Plata;Buenos Aires
234;Vertiz 3175;Mar del Plata;Buenos Aires
66;Vertiz 3230;Mar del Plata;Buenos Aires
230;Vertiz 3250;Mar del Plata;Buenos Aires
113;Vertíz 3347;Mar del Plata;Buenos Aires
65;Vertiz 3348;Mar del Plata;Buenos Aires
191;Vertiz 3350;Mar del Plata;Buenos Aires
252;Vertiz 3459;Mar del Plata;Buenos Aires
209;Vértiz 4703;Mar del Plata;Buenos Aires
